center,left,right,angle,a,b,velocity
IMG\center_2018_07_16_17_11_44_627.jpg,IMG\left_2018_07_16_17_11_44_627.jpg,IMG\right_2018_07_16_17_11_44_627.jpg,-0.5354305,1.0,0.0,3.791584
IMG\center_2018_07_16_17_11_44_697.jpg,IMG\left_2018_07_16_17_11_44_697.jpg,IMG\right_2018_07_16_17_11_44_697.jpg,-0.4319619,1.0,0.0,4.489107
IMG\center_2018_07_16_17_11_44_769.jpg,IMG\left_2018_07_16_17_11_44_769.jpg,IMG\right_2018_07_16_17_11_44_769.jpg,-0.1909571,1.0,0.0,5.422441
IMG\center_2018_07_16_17_11_44_839.jpg,IMG\left_2018_07_16_17_11_44_839.jpg,IMG\right_2018_07_16_17_11_44_839.jpg,-0.006139816,1.0,0.0,6.111838
IMG\center_2018_07_16_17_11_44_911.jpg,IMG\left_2018_07_16_17_11_44_911.jpg,IMG\right_2018_07_16_17_11_44_911.jpg,0.0,1.0,0.0,7.026899
IMG\center_2018_07_16_17_11_44_981.jpg,IMG\left_2018_07_16_17_11_44_981.jpg,IMG\right_2018_07_16_17_11_44_981.jpg,0.0,1.0,0.0,7.709986
IMG\center_2018_07_16_17_11_45_052.jpg,IMG\left_2018_07_16_17_11_45_052.jpg,IMG\right_2018_07_16_17_11_45_052.jpg,0.0,1.0,0.0,8.614678
IMG\center_2018_07_16_17_11_45_120.jpg,IMG\left_2018_07_16_17_11_45_120.jpg,IMG\right_2018_07_16_17_11_45_120.jpg,-0.05,1.0,0.0,9.288085
IMG\center_2018_07_16_17_11_45_190.jpg,IMG\left_2018_07_16_17_11_45_190.jpg,IMG\right_2018_07_16_17_11_45_190.jpg,-0.25,1.0,0.0,10.16289
IMG\center_2018_07_16_17_11_45_261.jpg,IMG\left_2018_07_16_17_11_45_261.jpg,IMG\right_2018_07_16_17_11_45_261.jpg,-0.4176539,1.0,0.0,10.792
IMG\center_2018_07_16_17_11_45_333.jpg,IMG\left_2018_07_16_17_11_45_333.jpg,IMG\right_2018_07_16_17_11_45_333.jpg,-0.148133,1.0,0.0,11.50283
IMG\center_2018_07_16_17_11_45_405.jpg,IMG\left_2018_07_16_17_11_45_405.jpg,IMG\right_2018_07_16_17_11_45_405.jpg,0.0,1.0,0.0,12.41839
IMG\center_2018_07_16_17_11_45_479.jpg,IMG\left_2018_07_16_17_11_45_479.jpg,IMG\right_2018_07_16_17_11_45_479.jpg,0.0,1.0,0.0,13.2507
IMG\center_2018_07_16_17_11_45_555.jpg,IMG\left_2018_07_16_17_11_45_555.jpg,IMG\right_2018_07_16_17_11_45_555.jpg,-0.15,1.0,0.0,14.023
IMG\center_2018_07_16_17_11_45_622.jpg,IMG\left_2018_07_16_17_11_45_622.jpg,IMG\right_2018_07_16_17_11_45_622.jpg,-0.2039619,1.0,0.0,14.64477
IMG\center_2018_07_16_17_11_45_692.jpg,IMG\left_2018_07_16_17_11_45_692.jpg,IMG\right_2018_07_16_17_11_45_692.jpg,0.0,1.0,0.0,15.5139
IMG\center_2018_07_16_17_11_45_768.jpg,IMG\left_2018_07_16_17_11_45_768.jpg,IMG\right_2018_07_16_17_11_45_768.jpg,-0.1,1.0,0.0,16.36341
IMG\center_2018_07_16_17_11_45_841.jpg,IMG\left_2018_07_16_17_11_45_841.jpg,IMG\right_2018_07_16_17_11_45_841.jpg,-0.25,1.0,0.0,16.96618
IMG\center_2018_07_16_17_11_45_913.jpg,IMG\left_2018_07_16_17_11_45_913.jpg,IMG\right_2018_07_16_17_11_45_913.jpg,-0.2899932,1.0,0.0,17.75621
IMG\center_2018_07_16_17_11_45_984.jpg,IMG\left_2018_07_16_17_11_45_984.jpg,IMG\right_2018_07_16_17_11_45_984.jpg,-0.04874708,1.0,0.0,18.57259
IMG\center_2018_07_16_17_11_46_053.jpg,IMG\left_2018_07_16_17_11_46_053.jpg,IMG\right_2018_07_16_17_11_46_053.jpg,-0.1987471,1.0,0.0,19.19831
IMG\center_2018_07_16_17_11_46_127.jpg,IMG\left_2018_07_16_17_11_46_127.jpg,IMG\right_2018_07_16_17_11_46_127.jpg,-0.3987471,1.0,0.0,19.9691
IMG\center_2018_07_16_17_11_46_201.jpg,IMG\left_2018_07_16_17_11_46_201.jpg,IMG\right_2018_07_16_17_11_46_201.jpg,-0.5835459,1.0,0.0,20.47755
IMG\center_2018_07_16_17_11_46_273.jpg,IMG\left_2018_07_16_17_11_46_273.jpg,IMG\right_2018_07_16_17_11_46_273.jpg,-0.3347006,1.0,0.0,21.25484
IMG\center_2018_07_16_17_11_46_346.jpg,IMG\left_2018_07_16_17_11_46_346.jpg,IMG\right_2018_07_16_17_11_46_346.jpg,-0.09781816,1.0,0.0,22.05516
IMG\center_2018_07_16_17_11_46_582.jpg,IMG\left_2018_07_16_17_11_46_582.jpg,IMG\right_2018_07_16_17_11_46_582.jpg,-0.45,1.0,0.0,24.13973
IMG\center_2018_07_16_17_11_46_648.jpg,IMG\left_2018_07_16_17_11_46_648.jpg,IMG\right_2018_07_16_17_11_46_648.jpg,-0.6500001,1.0,0.0,24.7545
IMG\center_2018_07_16_17_11_46_718.jpg,IMG\left_2018_07_16_17_11_46_718.jpg,IMG\right_2018_07_16_17_11_46_718.jpg,-0.8377869,1.0,0.0,25.14737
IMG\center_2018_07_16_17_11_46_799.jpg,IMG\left_2018_07_16_17_11_46_799.jpg,IMG\right_2018_07_16_17_11_46_799.jpg,-0.570669,1.0,0.0,25.84808
IMG\center_2018_07_16_17_11_46_873.jpg,IMG\left_2018_07_16_17_11_46_873.jpg,IMG\right_2018_07_16_17_11_46_873.jpg,-0.371641,1.0,0.0,26.62703
IMG\center_2018_07_16_17_11_46_949.jpg,IMG\left_2018_07_16_17_11_46_949.jpg,IMG\right_2018_07_16_17_11_46_949.jpg,-0.1184418,1.0,0.0,27.3984
IMG\center_2018_07_16_17_11_47_022.jpg,IMG\left_2018_07_16_17_11_47_022.jpg,IMG\right_2018_07_16_17_11_47_022.jpg,0.03825914,1.0,0.0,27.93855
IMG\center_2018_07_16_17_11_47_090.jpg,IMG\left_2018_07_16_17_11_47_090.jpg,IMG\right_2018_07_16_17_11_47_090.jpg,0.2382591,1.0,0.0,28.60154
IMG\center_2018_07_16_17_11_47_161.jpg,IMG\left_2018_07_16_17_11_47_161.jpg,IMG\right_2018_07_16_17_11_47_161.jpg,0.3882592,1.0,0.0,29.05084
IMG\center_2018_07_16_17_11_47_287.jpg,IMG\left_2018_07_16_17_11_47_287.jpg,IMG\right_2018_07_16_17_11_47_287.jpg,0.4069337,1.0,0.0,30.10639
IMG\center_2018_07_16_17_11_47_354.jpg,IMG\left_2018_07_16_17_11_47_354.jpg,IMG\right_2018_07_16_17_11_47_354.jpg,0.2246239,1.0,0.0,30.19317
IMG\center_2018_07_16_17_11_47_421.jpg,IMG\left_2018_07_16_17_11_47_421.jpg,IMG\right_2018_07_16_17_11_47_421.jpg,0.03269759,1.0,0.0,30.18802
IMG\center_2018_07_16_17_11_47_496.jpg,IMG\left_2018_07_16_17_11_47_496.jpg,IMG\right_2018_07_16_17_11_47_496.jpg,0.0,1.0,0.0,30.18782
IMG\center_2018_07_16_17_11_47_565.jpg,IMG\left_2018_07_16_17_11_47_565.jpg,IMG\right_2018_07_16_17_11_47_565.jpg,-0.05,1.0,0.0,30.18911
IMG\center_2018_07_16_17_11_47_636.jpg,IMG\left_2018_07_16_17_11_47_636.jpg,IMG\right_2018_07_16_17_11_47_636.jpg,-0.2,1.0,0.0,30.1762
IMG\center_2018_07_16_17_11_47_709.jpg,IMG\left_2018_07_16_17_11_47_709.jpg,IMG\right_2018_07_16_17_11_47_709.jpg,-0.407143,1.0,0.0,30.15302
IMG\center_2018_07_16_17_11_47_776.jpg,IMG\left_2018_07_16_17_11_47_776.jpg,IMG\right_2018_07_16_17_11_47_776.jpg,-0.2272892,1.0,0.0,30.18723
IMG\center_2018_07_16_17_11_47_854.jpg,IMG\left_2018_07_16_17_11_47_854.jpg,IMG\right_2018_07_16_17_11_47_854.jpg,0.0,1.0,0.0,30.18762
IMG\center_2018_07_16_17_11_47_921.jpg,IMG\left_2018_07_16_17_11_47_921.jpg,IMG\right_2018_07_16_17_11_47_921.jpg,0.0,1.0,0.0,30.18879
IMG\center_2018_07_16_17_11_47_988.jpg,IMG\left_2018_07_16_17_11_47_988.jpg,IMG\right_2018_07_16_17_11_47_988.jpg,0.2,1.0,0.0,30.17494
IMG\center_2018_07_16_17_11_48_057.jpg,IMG\left_2018_07_16_17_11_48_057.jpg,IMG\right_2018_07_16_17_11_48_057.jpg,0.05533018,1.0,0.0,30.1889
IMG\center_2018_07_16_17_11_48_129.jpg,IMG\left_2018_07_16_17_11_48_129.jpg,IMG\right_2018_07_16_17_11_48_129.jpg,0.0,1.0,0.0,30.19047
IMG\center_2018_07_16_17_11_48_203.jpg,IMG\left_2018_07_16_17_11_48_203.jpg,IMG\right_2018_07_16_17_11_48_203.jpg,0.0,1.0,0.0,30.19042
IMG\center_2018_07_16_17_11_48_277.jpg,IMG\left_2018_07_16_17_11_48_277.jpg,IMG\right_2018_07_16_17_11_48_277.jpg,0.0,1.0,0.0,30.18878
IMG\center_2018_07_16_17_11_48_350.jpg,IMG\left_2018_07_16_17_11_48_350.jpg,IMG\right_2018_07_16_17_11_48_350.jpg,-0.15,1.0,0.0,30.1841
IMG\center_2018_07_16_17_11_48_417.jpg,IMG\left_2018_07_16_17_11_48_417.jpg,IMG\right_2018_07_16_17_11_48_417.jpg,-0.3,1.0,0.0,30.16866
IMG\center_2018_07_16_17_11_48_520.jpg,IMG\left_2018_07_16_17_11_48_520.jpg,IMG\right_2018_07_16_17_11_48_520.jpg,-0.2139899,1.0,0.0,30.19007
IMG\center_2018_07_16_17_11_48_587.jpg,IMG\left_2018_07_16_17_11_48_587.jpg,IMG\right_2018_07_16_17_11_48_587.jpg,-0.01322652,1.0,0.0,30.18902
IMG\center_2018_07_16_17_11_48_654.jpg,IMG\left_2018_07_16_17_11_48_654.jpg,IMG\right_2018_07_16_17_11_48_654.jpg,0.0,1.0,0.0,30.18918
IMG\center_2018_07_16_17_11_48_729.jpg,IMG\left_2018_07_16_17_11_48_729.jpg,IMG\right_2018_07_16_17_11_48_729.jpg,0.0,1.0,0.0,30.19003
IMG\center_2018_07_16_17_11_48_802.jpg,IMG\left_2018_07_16_17_11_48_802.jpg,IMG\right_2018_07_16_17_11_48_802.jpg,0.0,1.0,0.0,30.19016
IMG\center_2018_07_16_17_11_48_877.jpg,IMG\left_2018_07_16_17_11_48_877.jpg,IMG\right_2018_07_16_17_11_48_877.jpg,0.0,1.0,0.0,30.18862
IMG\center_2018_07_16_17_11_48_951.jpg,IMG\left_2018_07_16_17_11_48_951.jpg,IMG\right_2018_07_16_17_11_48_951.jpg,0.0,1.0,0.0,30.19059
IMG\center_2018_07_16_17_11_49_022.jpg,IMG\left_2018_07_16_17_11_49_022.jpg,IMG\right_2018_07_16_17_11_49_022.jpg,0.0,1.0,0.0,30.19185
IMG\center_2018_07_16_17_11_49_096.jpg,IMG\left_2018_07_16_17_11_49_096.jpg,IMG\right_2018_07_16_17_11_49_096.jpg,0.0,1.0,0.0,30.18957
IMG\center_2018_07_16_17_11_49_167.jpg,IMG\left_2018_07_16_17_11_49_167.jpg,IMG\right_2018_07_16_17_11_49_167.jpg,0.0,1.0,0.0,30.19062
IMG\center_2018_07_16_17_11_49_240.jpg,IMG\left_2018_07_16_17_11_49_240.jpg,IMG\right_2018_07_16_17_11_49_240.jpg,0.0,1.0,0.0,30.19055
IMG\center_2018_07_16_17_11_49_312.jpg,IMG\left_2018_07_16_17_11_49_312.jpg,IMG\right_2018_07_16_17_11_49_312.jpg,-0.15,1.0,0.0,30.18394
IMG\center_2018_07_16_17_11_49_387.jpg,IMG\left_2018_07_16_17_11_49_387.jpg,IMG\right_2018_07_16_17_11_49_387.jpg,-0.3242413,1.0,0.0,30.1672
IMG\center_2018_07_16_17_11_49_461.jpg,IMG\left_2018_07_16_17_11_49_461.jpg,IMG\right_2018_07_16_17_11_49_461.jpg,-0.1275066,1.0,0.0,30.19048
IMG\center_2018_07_16_17_11_49_531.jpg,IMG\left_2018_07_16_17_11_49_531.jpg,IMG\right_2018_07_16_17_11_49_531.jpg,0.0,1.0,0.0,30.18906
IMG\center_2018_07_16_17_11_49_640.jpg,IMG\left_2018_07_16_17_11_49_640.jpg,IMG\right_2018_07_16_17_11_49_640.jpg,0.0,1.0,0.0,30.19015
IMG\center_2018_07_16_17_11_49_708.jpg,IMG\left_2018_07_16_17_11_49_708.jpg,IMG\right_2018_07_16_17_11_49_708.jpg,-0.2,1.0,0.0,30.18202
IMG\center_2018_07_16_17_11_49_778.jpg,IMG\left_2018_07_16_17_11_49_778.jpg,IMG\right_2018_07_16_17_11_49_778.jpg,-0.2405379,1.0,0.0,30.17927
IMG\center_2018_07_16_17_11_49_852.jpg,IMG\left_2018_07_16_17_11_49_852.jpg,IMG\right_2018_07_16_17_11_49_852.jpg,0.0,1.0,0.0,30.18939
IMG\center_2018_07_16_17_11_49_925.jpg,IMG\left_2018_07_16_17_11_49_925.jpg,IMG\right_2018_07_16_17_11_49_925.jpg,0.0,1.0,0.0,30.19024
IMG\center_2018_07_16_17_11_49_995.jpg,IMG\left_2018_07_16_17_11_49_995.jpg,IMG\right_2018_07_16_17_11_49_995.jpg,0.0,1.0,0.0,30.1902
IMG\center_2018_07_16_17_11_50_071.jpg,IMG\left_2018_07_16_17_11_50_071.jpg,IMG\right_2018_07_16_17_11_50_071.jpg,0.0,1.0,0.0,30.19027
IMG\center_2018_07_16_17_11_50_144.jpg,IMG\left_2018_07_16_17_11_50_144.jpg,IMG\right_2018_07_16_17_11_50_144.jpg,-0.2,1.0,0.0,30.18085
IMG\center_2018_07_16_17_11_50_218.jpg,IMG\left_2018_07_16_17_11_50_218.jpg,IMG\right_2018_07_16_17_11_50_218.jpg,-0.08249395,1.0,0.0,30.19039
IMG\center_2018_07_16_17_11_50_318.jpg,IMG\left_2018_07_16_17_11_50_318.jpg,IMG\right_2018_07_16_17_11_50_318.jpg,0.0,1.0,0.0,30.19006
IMG\center_2018_07_16_17_11_50_386.jpg,IMG\left_2018_07_16_17_11_50_386.jpg,IMG\right_2018_07_16_17_11_50_386.jpg,0.0,1.0,0.0,30.19027
IMG\center_2018_07_16_17_11_50_459.jpg,IMG\left_2018_07_16_17_11_50_459.jpg,IMG\right_2018_07_16_17_11_50_459.jpg,-0.05,1.0,0.0,30.18991
IMG\center_2018_07_16_17_11_50_600.jpg,IMG\left_2018_07_16_17_11_50_600.jpg,IMG\right_2018_07_16_17_11_50_600.jpg,0.0,1.0,0.0,30.19029
IMG\center_2018_07_16_17_11_50_672.jpg,IMG\left_2018_07_16_17_11_50_672.jpg,IMG\right_2018_07_16_17_11_50_672.jpg,0.0,1.0,0.0,30.19034
IMG\center_2018_07_16_17_11_50_749.jpg,IMG\left_2018_07_16_17_11_50_749.jpg,IMG\right_2018_07_16_17_11_50_749.jpg,-0.05,1.0,0.0,30.18987
IMG\center_2018_07_16_17_11_50_818.jpg,IMG\left_2018_07_16_17_11_50_818.jpg,IMG\right_2018_07_16_17_11_50_818.jpg,-0.2,1.0,0.0,30.18046
IMG\center_2018_07_16_17_11_50_893.jpg,IMG\left_2018_07_16_17_11_50_893.jpg,IMG\right_2018_07_16_17_11_50_893.jpg,-0.2737503,1.0,0.0,30.17559
IMG\center_2018_07_16_17_11_50_989.jpg,IMG\left_2018_07_16_17_11_50_989.jpg,IMG\right_2018_07_16_17_11_50_989.jpg,0.0,1.0,0.0,30.18901
IMG\center_2018_07_16_17_11_51_055.jpg,IMG\left_2018_07_16_17_11_51_055.jpg,IMG\right_2018_07_16_17_11_51_055.jpg,0.0,1.0,0.0,30.18978
IMG\center_2018_07_16_17_11_51_122.jpg,IMG\left_2018_07_16_17_11_51_122.jpg,IMG\right_2018_07_16_17_11_51_122.jpg,-0.05,1.0,0.0,30.19015
IMG\center_2018_07_16_17_11_51_193.jpg,IMG\left_2018_07_16_17_11_51_193.jpg,IMG\right_2018_07_16_17_11_51_193.jpg,-0.25,1.0,0.0,30.17727
IMG\center_2018_07_16_17_11_51_260.jpg,IMG\left_2018_07_16_17_11_51_260.jpg,IMG\right_2018_07_16_17_11_51_260.jpg,-0.3276419,1.0,0.0,30.16891
IMG\center_2018_07_16_17_11_51_333.jpg,IMG\left_2018_07_16_17_11_51_333.jpg,IMG\right_2018_07_16_17_11_51_333.jpg,-0.08331793,1.0,0.0,30.19159
IMG\center_2018_07_16_17_11_51_402.jpg,IMG\left_2018_07_16_17_11_51_402.jpg,IMG\right_2018_07_16_17_11_51_402.jpg,0.0,1.0,0.0,30.18862
IMG\center_2018_07_16_17_11_51_473.jpg,IMG\left_2018_07_16_17_11_51_473.jpg,IMG\right_2018_07_16_17_11_51_473.jpg,-0.05,1.0,0.0,30.1902
IMG\center_2018_07_16_17_11_51_541.jpg,IMG\left_2018_07_16_17_11_51_541.jpg,IMG\right_2018_07_16_17_11_51_541.jpg,-0.2,1.0,0.0,30.18324
IMG\center_2018_07_16_17_11_51_617.jpg,IMG\left_2018_07_16_17_11_51_617.jpg,IMG\right_2018_07_16_17_11_51_617.jpg,-0.200166,1.0,0.0,30.18699
IMG\center_2018_07_16_17_11_51_691.jpg,IMG\left_2018_07_16_17_11_51_691.jpg,IMG\right_2018_07_16_17_11_51_691.jpg,0.0,1.0,0.0,30.18866
IMG\center_2018_07_16_17_11_51_765.jpg,IMG\left_2018_07_16_17_11_51_765.jpg,IMG\right_2018_07_16_17_11_51_765.jpg,0.0,1.0,0.0,30.19005
IMG\center_2018_07_16_17_11_51_836.jpg,IMG\left_2018_07_16_17_11_51_836.jpg,IMG\right_2018_07_16_17_11_51_836.jpg,0.0,1.0,0.0,30.18968
IMG\center_2018_07_16_17_11_51_909.jpg,IMG\left_2018_07_16_17_11_51_909.jpg,IMG\right_2018_07_16_17_11_51_909.jpg,0.0,1.0,0.0,30.19033
IMG\center_2018_07_16_17_11_51_979.jpg,IMG\left_2018_07_16_17_11_51_979.jpg,IMG\right_2018_07_16_17_11_51_979.jpg,0.0,1.0,0.0,30.19032
IMG\center_2018_07_16_17_11_52_052.jpg,IMG\left_2018_07_16_17_11_52_052.jpg,IMG\right_2018_07_16_17_11_52_052.jpg,0.0,1.0,0.0,30.19028
IMG\center_2018_07_16_17_11_52_124.jpg,IMG\left_2018_07_16_17_11_52_124.jpg,IMG\right_2018_07_16_17_11_52_124.jpg,0.0,1.0,0.0,30.1903
IMG\center_2018_07_16_17_11_52_199.jpg,IMG\left_2018_07_16_17_11_52_199.jpg,IMG\right_2018_07_16_17_11_52_199.jpg,0.0,1.0,0.0,30.19031
IMG\center_2018_07_16_17_11_52_268.jpg,IMG\left_2018_07_16_17_11_52_268.jpg,IMG\right_2018_07_16_17_11_52_268.jpg,-0.2,1.0,0.0,30.17984
IMG\center_2018_07_16_17_11_52_337.jpg,IMG\left_2018_07_16_17_11_52_337.jpg,IMG\right_2018_07_16_17_11_52_337.jpg,-0.3031508,1.0,0.0,30.17023
IMG\center_2018_07_16_17_11_52_410.jpg,IMG\left_2018_07_16_17_11_52_410.jpg,IMG\right_2018_07_16_17_11_52_410.jpg,-0.05423897,1.0,0.0,30.19088
IMG\center_2018_07_16_17_11_52_478.jpg,IMG\left_2018_07_16_17_11_52_478.jpg,IMG\right_2018_07_16_17_11_52_478.jpg,0.0,1.0,0.0,30.1893
IMG\center_2018_07_16_17_11_52_554.jpg,IMG\left_2018_07_16_17_11_52_554.jpg,IMG\right_2018_07_16_17_11_52_554.jpg,0.0,1.0,0.0,30.1901
IMG\center_2018_07_16_17_11_52_625.jpg,IMG\left_2018_07_16_17_11_52_625.jpg,IMG\right_2018_07_16_17_11_52_625.jpg,0.0,1.0,0.0,30.19023
IMG\center_2018_07_16_17_11_52_700.jpg,IMG\left_2018_07_16_17_11_52_700.jpg,IMG\right_2018_07_16_17_11_52_700.jpg,0.0,1.0,0.0,30.19033
IMG\center_2018_07_16_17_11_52_774.jpg,IMG\left_2018_07_16_17_11_52_774.jpg,IMG\right_2018_07_16_17_11_52_774.jpg,0.0,1.0,0.0,30.19033
IMG\center_2018_07_16_17_11_52_843.jpg,IMG\left_2018_07_16_17_11_52_843.jpg,IMG\right_2018_07_16_17_11_52_843.jpg,0.0,1.0,0.0,30.19044
IMG\center_2018_07_16_17_11_52_920.jpg,IMG\left_2018_07_16_17_11_52_920.jpg,IMG\right_2018_07_16_17_11_52_920.jpg,0.0,1.0,0.0,30.19034
IMG\center_2018_07_16_17_11_52_987.jpg,IMG\left_2018_07_16_17_11_52_987.jpg,IMG\right_2018_07_16_17_11_52_987.jpg,0.0,1.0,0.0,30.19031
IMG\center_2018_07_16_17_11_53_062.jpg,IMG\left_2018_07_16_17_11_53_062.jpg,IMG\right_2018_07_16_17_11_53_062.jpg,-0.05,1.0,0.0,30.18969
IMG\center_2018_07_16_17_11_53_136.jpg,IMG\left_2018_07_16_17_11_53_136.jpg,IMG\right_2018_07_16_17_11_53_136.jpg,-0.2449459,1.0,0.0,30.17537
IMG\center_2018_07_16_17_11_53_211.jpg,IMG\left_2018_07_16_17_11_53_211.jpg,IMG\right_2018_07_16_17_11_53_211.jpg,0.0,1.0,0.0,30.18986
IMG\center_2018_07_16_17_11_53_278.jpg,IMG\left_2018_07_16_17_11_53_278.jpg,IMG\right_2018_07_16_17_11_53_278.jpg,0.0,1.0,0.0,30.18991
IMG\center_2018_07_16_17_11_53_350.jpg,IMG\left_2018_07_16_17_11_53_350.jpg,IMG\right_2018_07_16_17_11_53_350.jpg,0.0,1.0,0.0,30.19025
IMG\center_2018_07_16_17_11_53_421.jpg,IMG\left_2018_07_16_17_11_53_421.jpg,IMG\right_2018_07_16_17_11_53_421.jpg,0.0,1.0,0.0,30.19027
IMG\center_2018_07_16_17_11_53_495.jpg,IMG\left_2018_07_16_17_11_53_495.jpg,IMG\right_2018_07_16_17_11_53_495.jpg,0.0,1.0,0.0,30.19029
IMG\center_2018_07_16_17_11_53_568.jpg,IMG\left_2018_07_16_17_11_53_568.jpg,IMG\right_2018_07_16_17_11_53_568.jpg,0.0,1.0,0.0,30.1903
IMG\center_2018_07_16_17_11_53_641.jpg,IMG\left_2018_07_16_17_11_53_641.jpg,IMG\right_2018_07_16_17_11_53_641.jpg,0.0,1.0,0.0,30.18994
IMG\center_2018_07_16_17_11_53_709.jpg,IMG\left_2018_07_16_17_11_53_709.jpg,IMG\right_2018_07_16_17_11_53_709.jpg,0.0,1.0,0.0,30.19029
IMG\center_2018_07_16_17_11_53_778.jpg,IMG\left_2018_07_16_17_11_53_778.jpg,IMG\right_2018_07_16_17_11_53_778.jpg,0.0,1.0,0.0,30.19028
IMG\center_2018_07_16_17_11_53_850.jpg,IMG\left_2018_07_16_17_11_53_850.jpg,IMG\right_2018_07_16_17_11_53_850.jpg,-0.2,1.0,0.0,30.17946
IMG\center_2018_07_16_17_11_53_922.jpg,IMG\left_2018_07_16_17_11_53_922.jpg,IMG\right_2018_07_16_17_11_53_922.jpg,-0.35,1.0,0.0,30.16351
IMG\center_2018_07_16_17_11_53_998.jpg,IMG\left_2018_07_16_17_11_53_998.jpg,IMG\right_2018_07_16_17_11_53_998.jpg,-0.3016789,1.0,0.0,30.18368
IMG\center_2018_07_16_17_11_54_072.jpg,IMG\left_2018_07_16_17_11_54_072.jpg,IMG\right_2018_07_16_17_11_54_072.jpg,-0.04957345,1.0,0.0,30.19044
IMG\center_2018_07_16_17_11_54_144.jpg,IMG\left_2018_07_16_17_11_54_144.jpg,IMG\right_2018_07_16_17_11_54_144.jpg,0.0,1.0,0.0,30.18892
IMG\center_2018_07_16_17_11_54_215.jpg,IMG\left_2018_07_16_17_11_54_215.jpg,IMG\right_2018_07_16_17_11_54_215.jpg,0.0,1.0,0.0,30.18996
IMG\center_2018_07_16_17_11_54_284.jpg,IMG\left_2018_07_16_17_11_54_284.jpg,IMG\right_2018_07_16_17_11_54_284.jpg,0.0,1.0,0.0,30.19024
IMG\center_2018_07_16_17_11_54_353.jpg,IMG\left_2018_07_16_17_11_54_353.jpg,IMG\right_2018_07_16_17_11_54_353.jpg,0.0,1.0,0.0,30.19029
IMG\center_2018_07_16_17_11_54_429.jpg,IMG\left_2018_07_16_17_11_54_429.jpg,IMG\right_2018_07_16_17_11_54_429.jpg,0.0,1.0,0.0,30.19031
IMG\center_2018_07_16_17_11_54_502.jpg,IMG\left_2018_07_16_17_11_54_502.jpg,IMG\right_2018_07_16_17_11_54_502.jpg,0.0,1.0,0.0,30.19029
IMG\center_2018_07_16_17_11_54_573.jpg,IMG\left_2018_07_16_17_11_54_573.jpg,IMG\right_2018_07_16_17_11_54_573.jpg,0.0,1.0,0.0,30.19031
IMG\center_2018_07_16_17_11_54_647.jpg,IMG\left_2018_07_16_17_11_54_647.jpg,IMG\right_2018_07_16_17_11_54_647.jpg,0.0,1.0,0.0,30.19031
