img,angle
IMG\right_2018_07_16_17_11_48_654.jp,0.0
IMG\right_2018_07_16_17_11_48_729.jp,0.0
IMG\right_2018_07_16_17_11_48_802.jp,0.0
IMG\right_2018_07_16_17_11_48_877.jp,0.0
IMG\right_2018_07_16_17_11_48_951.jp,0.0
IMG\right_2018_07_16_17_11_49_022.jp,0.0
IMG\right_2018_07_16_17_11_49_096.jp,0.0
IMG\right_2018_07_16_17_11_49_167.jp,0.0
IMG\right_2018_07_16_17_11_49_240.jp,0.0
IMG\right_2018_07_16_17_11_49_312.jp,-0.15
IMG\right_2018_07_16_17_11_49_387.jp,-0.3242413
IMG\right_2018_07_16_17_11_49_461.jp,-0.1275066
IMG\right_2018_07_16_17_11_49_531.jp,0.0
IMG\right_2018_07_16_17_11_49_640.jp,0.0
IMG\right_2018_07_16_17_11_49_708.jp,-0.2
IMG\right_2018_07_16_17_11_49_778.jp,-0.2405379
IMG\right_2018_07_16_17_11_49_852.jp,0.0
IMG\right_2018_07_16_17_11_49_925.jp,0.0
IMG\right_2018_07_16_17_11_49_995.jp,0.0
IMG\right_2018_07_16_17_11_50_071.jp,0.0
IMG\right_2018_07_16_17_11_50_144.jp,-0.2
IMG\right_2018_07_16_17_11_50_218.jp,-0.08249395
IMG\right_2018_07_16_17_11_50_318.jp,0.0
IMG\right_2018_07_16_17_11_50_386.jp,0.0
IMG\right_2018_07_16_17_11_50_459.jp,-0.05
IMG\right_2018_07_16_17_11_50_600.jp,0.0
IMG\right_2018_07_16_17_11_50_672.jp,0.0
IMG\right_2018_07_16_17_11_50_749.jp,-0.05
IMG\right_2018_07_16_17_11_50_818.jp,-0.2
IMG\right_2018_07_16_17_11_50_893.jp,-0.2737503
IMG\right_2018_07_16_17_11_50_989.jp,0.0
IMG\right_2018_07_16_17_11_51_055.jp,0.0
IMG\right_2018_07_16_17_11_51_122.jp,-0.05
IMG\right_2018_07_16_17_11_51_193.jp,-0.25
IMG\right_2018_07_16_17_11_51_260.jp,-0.3276419
IMG\right_2018_07_16_17_11_51_333.jp,-0.08331793
IMG\right_2018_07_16_17_11_51_402.jp,0.0
IMG\right_2018_07_16_17_11_51_473.jp,-0.05
IMG\right_2018_07_16_17_11_51_541.jp,-0.2
IMG\right_2018_07_16_17_11_51_617.jp,-0.200166
IMG\right_2018_07_16_17_11_51_691.jp,0.0
IMG\right_2018_07_16_17_11_51_765.jp,0.0
IMG\right_2018_07_16_17_11_51_836.jp,0.0
IMG\right_2018_07_16_17_11_51_909.jp,0.0
IMG\right_2018_07_16_17_11_51_979.jp,0.0
IMG\right_2018_07_16_17_11_52_052.jp,0.0
IMG\right_2018_07_16_17_11_52_124.jp,0.0
IMG\right_2018_07_16_17_11_52_199.jp,0.0
IMG\right_2018_07_16_17_11_52_268.jp,-0.2
IMG\right_2018_07_16_17_11_52_337.jp,-0.3031508
IMG\right_2018_07_16_17_11_52_410.jp,-0.05423897
IMG\right_2018_07_16_17_11_52_478.jp,0.0
IMG\right_2018_07_16_17_11_52_554.jp,0.0
IMG\right_2018_07_16_17_11_52_625.jp,0.0
IMG\right_2018_07_16_17_11_52_700.jp,0.0
IMG\right_2018_07_16_17_11_52_774.jp,0.0
IMG\right_2018_07_16_17_11_52_843.jp,0.0
IMG\right_2018_07_16_17_11_52_920.jp,0.0
IMG\right_2018_07_16_17_11_52_987.jp,0.0
IMG\right_2018_07_16_17_11_53_062.jp,-0.05
IMG\right_2018_07_16_17_11_53_136.jp,-0.2449459
IMG\right_2018_07_16_17_11_53_211.jp,0.0
IMG\right_2018_07_16_17_11_53_278.jp,0.0
IMG\right_2018_07_16_17_11_53_350.jp,0.0
IMG\right_2018_07_16_17_11_53_421.jp,0.0
IMG\right_2018_07_16_17_11_53_495.jp,0.0
IMG\right_2018_07_16_17_11_53_568.jp,0.0
IMG\right_2018_07_16_17_11_53_641.jp,0.0
IMG\right_2018_07_16_17_11_53_709.jp,0.0
IMG\right_2018_07_16_17_11_53_778.jp,0.0
IMG\right_2018_07_16_17_11_53_850.jp,-0.2
IMG\right_2018_07_16_17_11_53_922.jp,-0.35
IMG\right_2018_07_16_17_11_53_998.jp,-0.3016789
IMG\right_2018_07_16_17_11_54_072.jp,-0.04957345
IMG\right_2018_07_16_17_11_54_144.jp,0.0
IMG\right_2018_07_16_17_11_54_215.jp,0.0
IMG\right_2018_07_16_17_11_54_284.jp,0.0
IMG\right_2018_07_16_17_11_54_353.jp,0.0
IMG\right_2018_07_16_17_11_54_429.jp,0.0
IMG\right_2018_07_16_17_11_54_502.jp,0.0
IMG\right_2018_07_16_17_11_54_573.jp,0.0
IMG\right_2018_07_16_17_11_54_647.jp,0.0
IMG\right_2018_07_16_17_11_54_719.jp,0.0
IMG\right_2018_07_16_17_11_54_792.jp,0.0
IMG\right_2018_07_16_17_11_54_862.jp,0.0
IMG\right_2018_07_16_17_11_54_934.jp,0.0
IMG\right_2018_07_16_17_11_55_003.jp,0.0
IMG\right_2018_07_16_17_11_55_070.jp,0.0
IMG\right_2018_07_16_17_11_55_140.jp,0.0
IMG\right_2018_07_16_17_11_55_213.jp,0.0
IMG\right_2018_07_16_17_11_55_295.jp,0.0
IMG\right_2018_07_16_17_11_55_362.jp,0.0
IMG\right_2018_07_16_17_11_55_435.jp,0.0
IMG\right_2018_07_16_17_11_55_503.jp,0.0
IMG\right_2018_07_16_17_11_55_578.jp,0.0
IMG\right_2018_07_16_17_11_55_653.jp,0.0
IMG\right_2018_07_16_17_11_55_720.jp,-0.1
IMG\right_2018_07_16_17_11_55_789.jp,-0.3
IMG\right_2018_07_16_17_11_55_857.jp,-0.45
IMG\right_2018_07_16_17_11_55_929.jp,-0.3062583
IMG\right_2018_07_16_17_11_56_003.jp,-0.08345101
IMG\right_2018_07_16_17_11_56_072.jp,0.0
IMG\right_2018_07_16_17_11_56_140.jp,0.0
IMG\right_2018_07_16_17_11_56_210.jp,0.0
IMG\right_2018_07_16_17_11_56_277.jp,0.0
IMG\right_2018_07_16_17_11_56_344.jp,0.0
IMG\right_2018_07_16_17_11_56_416.jp,0.0
IMG\right_2018_07_16_17_11_56_489.jp,0.2
IMG\right_2018_07_16_17_11_56_560.jp,0.1286115
IMG\right_2018_07_16_17_11_56_629.jp,0.0
IMG\right_2018_07_16_17_11_56_699.jp,0.0
IMG\right_2018_07_16_17_11_56_767.jp,0.0
IMG\right_2018_07_16_17_11_56_836.jp,0.0
IMG\right_2018_07_16_17_11_56_907.jp,-0.08330809
IMG\right_2018_07_16_17_11_56_974.jp,0.0
IMG\right_2018_07_16_17_11_57_047.jp,0.0
IMG\right_2018_07_16_17_11_57_117.jp,0.0
IMG\right_2018_07_16_17_11_57_188.jp,0.0
IMG\right_2018_07_16_17_11_57_256.jp,0.0
IMG\right_2018_07_16_17_11_57_326.jp,0.0
IMG\right_2018_07_16_17_11_57_395.jp,0.0
IMG\right_2018_07_16_17_11_57_595.jp,-0.45
IMG\right_2018_07_16_17_11_57_658.jp,-0.3825336
IMG\right_2018_07_16_17_11_57_727.jp,-0.1330441
IMG\right_2018_07_16_17_11_57_795.jp,0.0
IMG\right_2018_07_16_17_11_57_865.jp,0.0
IMG\right_2018_07_16_17_11_57_933.jp,0.0
IMG\right_2018_07_16_17_11_57_999.jp,0.0
IMG\right_2018_07_16_17_11_58_070.jp,0.0
IMG\right_2018_07_16_17_11_58_137.jp,0.1
IMG\right_2018_07_16_17_11_58_206.jp,0.3
IMG\right_2018_07_16_17_11_58_274.jp,0.3113252
IMG\right_2018_07_16_17_11_58_349.jp,0.065304
IMG\right_2018_07_16_17_11_58_421.jp,0.0
IMG\right_2018_07_16_17_11_58_493.jp,0.0
IMG\right_2018_07_16_17_11_58_560.jp,0.0
IMG\right_2018_07_16_17_11_58_631.jp,0.0
IMG\right_2018_07_16_17_11_58_701.jp,0.0
IMG\right_2018_07_16_17_11_58_770.jp,0.0
IMG\right_2018_07_16_17_11_58_837.jp,0.0
IMG\right_2018_07_16_17_11_58_905.jp,0.0
IMG\right_2018_07_16_17_11_58_976.jp,0.0
IMG\right_2018_07_16_17_11_59_048.jp,0.0
IMG\right_2018_07_16_17_11_59_117.jp,0.0
IMG\right_2018_07_16_17_11_59_188.jp,0.0
IMG\right_2018_07_16_17_11_59_259.jp,0.0
IMG\right_2018_07_16_17_11_59_329.jp,0.0
IMG\right_2018_07_16_17_11_59_399.jp,0.0
IMG\right_2018_07_16_17_11_59_469.jp,0.0
IMG\right_2018_07_16_17_11_59_542.jp,-0.05
IMG\right_2018_07_16_17_11_59_610.jp,0.0
IMG\right_2018_07_16_17_11_59_684.jp,0.0
IMG\right_2018_07_16_17_11_59_755.jp,0.0
IMG\right_2018_07_16_17_11_59_826.jp,-0.05
IMG\right_2018_07_16_17_11_59_893.jp,-0.2
IMG\right_2018_07_16_17_11_59_965.jp,-0.0687021
IMG\right_2018_07_16_17_12_00_035.jp,0.0
IMG\right_2018_07_16_17_12_00_106.jp,0.0
IMG\right_2018_07_16_17_12_00_177.jp,0.0
IMG\right_2018_07_16_17_12_00_245.jp,0.0
IMG\right_2018_07_16_17_12_00_312.jp,0.0
IMG\right_2018_07_16_17_12_00_379.jp,-0.05
IMG\right_2018_07_16_17_12_00_448.jp,-0.25
IMG\right_2018_07_16_17_12_00_518.jp,-0.1221219
IMG\right_2018_07_16_17_12_00_585.jp,0.0
IMG\right_2018_07_16_17_12_00_658.jp,0.0
IMG\right_2018_07_16_17_12_00_727.jp,0.0
IMG\right_2018_07_16_17_12_00_794.jp,0.0
IMG\right_2018_07_16_17_12_00_868.jp,-0.15
IMG\right_2018_07_16_17_12_00_938.jp,-0.2333759
IMG\right_2018_07_16_17_12_01_007.jp,-0.001612199
IMG\right_2018_07_16_17_12_01_078.jp,0.0
IMG\right_2018_07_16_17_12_01_152.jp,0.0
IMG\right_2018_07_16_17_12_01_222.jp,0.0
IMG\right_2018_07_16_17_12_01_294.jp,0.0
IMG\right_2018_07_16_17_12_01_363.jp,0.0
IMG\right_2018_07_16_17_12_01_438.jp,0.0
IMG\right_2018_07_16_17_12_01_511.jp,0.0
IMG\right_2018_07_16_17_12_01_581.jp,0.0
IMG\right_2018_07_16_17_12_01_654.jp,0.0
IMG\right_2018_07_16_17_12_01_727.jp,0.0
IMG\right_2018_07_16_17_12_01_801.jp,0.0
IMG\right_2018_07_16_17_12_01_873.jp,0.0
IMG\right_2018_07_16_17_12_01_945.jp,0.0
IMG\right_2018_07_16_17_12_02_016.jp,0.0
IMG\right_2018_07_16_17_12_02_087.jp,0.0
IMG\right_2018_07_16_17_12_02_158.jp,0.0
IMG\right_2018_07_16_17_12_02_231.jp,-0.1
IMG\right_2018_07_16_17_12_02_302.jp,-0.25
IMG\right_2018_07_16_17_12_02_372.jp,-0.001676284
IMG\right_2018_07_16_17_12_02_442.jp,0.0
IMG\right_2018_07_16_17_12_02_510.jp,0.0
IMG\right_2018_07_16_17_12_02_583.jp,0.0
IMG\right_2018_07_16_17_12_02_655.jp,0.0
IMG\right_2018_07_16_17_12_02_726.jp,0.0
IMG\right_2018_07_16_17_12_02_794.jp,0.0
IMG\right_2018_07_16_17_12_02_861.jp,0.0
IMG\right_2018_07_16_17_12_02_932.jp,0.0
IMG\right_2018_07_16_17_12_03_001.jp,-0.05
IMG\right_2018_07_16_17_12_03_072.jp,-0.2350399
IMG\right_2018_07_16_17_12_03_141.jp,-0.05471313
IMG\right_2018_07_16_17_12_03_211.jp,0.0
IMG\right_2018_07_16_17_12_03_282.jp,0.0
IMG\right_2018_07_16_17_12_03_351.jp,0.0
IMG\right_2018_07_16_17_12_03_419.jp,0.0
IMG\right_2018_07_16_17_12_03_487.jp,0.0
IMG\right_2018_07_16_17_12_03_554.jp,0.0
IMG\right_2018_07_16_17_12_03_621.jp,0.0
IMG\right_2018_07_16_17_12_03_690.jp,0.0
IMG\right_2018_07_16_17_12_03_758.jp,0.0
IMG\right_2018_07_16_17_12_03_827.jp,0.0
IMG\right_2018_07_16_17_12_03_897.jp,0.0
IMG\right_2018_07_16_17_12_03_968.jp,0.0
IMG\right_2018_07_16_17_12_04_037.jp,0.0
IMG\right_2018_07_16_17_12_04_104.jp,0.0
IMG\right_2018_07_16_17_12_04_173.jp,0.0
IMG\right_2018_07_16_17_12_04_244.jp,0.0
IMG\right_2018_07_16_17_12_04_314.jp,0.0
IMG\right_2018_07_16_17_12_04_384.jp,0.0
IMG\right_2018_07_16_17_12_04_455.jp,0.0
IMG\right_2018_07_16_17_12_04_525.jp,0.0
IMG\right_2018_07_16_17_12_04_593.jp,0.0
IMG\right_2018_07_16_17_12_04_665.jp,0.0
IMG\right_2018_07_16_17_12_04_732.jp,-0.1
IMG\right_2018_07_16_17_12_04_799.jp,-0.1091861
IMG\right_2018_07_16_17_12_04_871.jp,0.0
IMG\right_2018_07_16_17_12_04_941.jp,0.0
IMG\right_2018_07_16_17_12_05_011.jp,0.0
IMG\right_2018_07_16_17_12_05_084.jp,0.0
IMG\right_2018_07_16_17_12_05_154.jp,0.0
IMG\right_2018_07_16_17_12_05_226.jp,0.0
IMG\right_2018_07_16_17_12_05_301.jp,0.0
IMG\right_2018_07_16_17_12_05_374.jp,0.0
IMG\right_2018_07_16_17_12_05_446.jp,0.0
IMG\right_2018_07_16_17_12_05_515.jp,0.0
IMG\right_2018_07_16_17_12_05_588.jp,0.0
IMG\right_2018_07_16_17_12_05_659.jp,0.0
IMG\right_2018_07_16_17_12_05_732.jp,0.0
IMG\right_2018_07_16_17_12_05_798.jp,0.0
IMG\right_2018_07_16_17_12_05_871.jp,0.0
IMG\right_2018_07_16_17_12_05_946.jp,0.0
IMG\right_2018_07_16_17_12_06_012.jp,0.0
IMG\right_2018_07_16_17_12_06_081.jp,0.0
IMG\right_2018_07_16_17_12_06_152.jp,0.0
IMG\right_2018_07_16_17_12_06_219.jp,0.0
IMG\right_2018_07_16_17_12_06_287.jp,-0.1
IMG\right_2018_07_16_17_12_06_361.jp,-0.2003791
IMG\right_2018_07_16_17_12_06_437.jp,0.0
IMG\right_2018_07_16_17_12_06_505.jp,0.0
IMG\right_2018_07_16_17_12_06_573.jp,0.0
IMG\right_2018_07_16_17_12_06_641.jp,0.0
IMG\right_2018_07_16_17_12_06_710.jp,0.0
IMG\right_2018_07_16_17_12_06_780.jp,0.0
IMG\right_2018_07_16_17_12_06_850.jp,-0.15
IMG\right_2018_07_16_17_12_06_917.jp,-0.2010195
IMG\right_2018_07_16_17_12_06_992.jp,0.0
IMG\right_2018_07_16_17_12_07_059.jp,0.0
IMG\right_2018_07_16_17_12_07_136.jp,0.0
IMG\right_2018_07_16_17_12_07_206.jp,0.1
IMG\right_2018_07_16_17_12_07_276.jp,0.05727987
IMG\right_2018_07_16_17_12_07_345.jp,0.0
IMG\right_2018_07_16_17_12_07_415.jp,0.0
IMG\right_2018_07_16_17_12_07_485.jp,0.0
IMG\right_2018_07_16_17_12_07_557.jp,0.0
IMG\right_2018_07_16_17_12_07_627.jp,0.0
IMG\right_2018_07_16_17_12_07_697.jp,0.0
IMG\right_2018_07_16_17_12_07_771.jp,0.0
IMG\right_2018_07_16_17_12_07_837.jp,0.0
IMG\right_2018_07_16_17_12_07_911.jp,0.0
IMG\right_2018_07_16_17_12_07_977.jp,0.0
IMG\right_2018_07_16_17_12_08_046.jp,0.0
IMG\right_2018_07_16_17_12_08_113.jp,0.0
IMG\right_2018_07_16_17_12_08_180.jp,0.0
IMG\right_2018_07_16_17_12_08_248.jp,0.0
IMG\right_2018_07_16_17_12_08_317.jp,0.0
IMG\right_2018_07_16_17_12_08_386.jp,0.0
IMG\right_2018_07_16_17_12_08_461.jp,0.0
IMG\right_2018_07_16_17_12_08_537.jp,0.0
IMG\right_2018_07_16_17_12_08_614.jp,0.0
IMG\right_2018_07_16_17_12_08_680.jp,0.0
IMG\right_2018_07_16_17_12_08_756.jp,0.0
IMG\right_2018_07_16_17_12_08_825.jp,0.0
IMG\right_2018_07_16_17_12_08_900.jp,0.0
IMG\right_2018_07_16_17_12_08_968.jp,0.0
IMG\right_2018_07_16_17_12_09_035.jp,0.0
IMG\right_2018_07_16_17_12_09_107.jp,0.0
IMG\right_2018_07_16_17_12_09_244.jp,-0.25
IMG\right_2018_07_16_17_12_09_316.jp,-0.4573151
IMG\right_2018_07_16_17_12_09_387.jp,-0.2202122
IMG\right_2018_07_16_17_12_09_454.jp,-0.04696485
IMG\right_2018_07_16_17_12_09_528.jp,0.0
IMG\right_2018_07_16_17_12_09_596.jp,0.0
IMG\right_2018_07_16_17_12_09_668.jp,0.05
IMG\right_2018_07_16_17_12_09_736.jp,0.2
IMG\right_2018_07_16_17_12_09_804.jp,0.1498893
IMG\right_2018_07_16_17_12_09_870.jp,0.0
IMG\right_2018_07_16_17_12_09_938.jp,0.0
IMG\right_2018_07_16_17_12_10_008.jp,0.0
IMG\right_2018_07_16_17_12_10_075.jp,0.0
IMG\right_2018_07_16_17_12_10_150.jp,0.0
IMG\right_2018_07_16_17_12_10_218.jp,0.0
IMG\right_2018_07_16_17_12_10_317.jp,0.0
IMG\right_2018_07_16_17_12_10_385.jp,0.0
IMG\right_2018_07_16_17_12_10_455.jp,0.1
IMG\right_2018_07_16_17_12_10_524.jp,0.1359977
IMG\right_2018_07_16_17_12_10_597.jp,0.0
IMG\right_2018_07_16_17_12_10_670.jp,0.0
IMG\right_2018_07_16_17_12_10_741.jp,0.0
IMG\right_2018_07_16_17_12_10_816.jp,0.0
IMG\right_2018_07_16_17_12_10_891.jp,0.0
IMG\right_2018_07_16_17_12_10_964.jp,0.0
IMG\right_2018_07_16_17_12_11_035.jp,0.0
IMG\right_2018_07_16_17_12_11_105.jp,-0.2
IMG\right_2018_07_16_17_12_11_186.jp,-0.08808068
IMG\right_2018_07_16_17_12_11_261.jp,0.0
IMG\right_2018_07_16_17_12_11_328.jp,0.0
IMG\right_2018_07_16_17_12_11_399.jp,0.0
IMG\right_2018_07_16_17_12_11_469.jp,0.0
IMG\right_2018_07_16_17_12_11_538.jp,0.0
IMG\right_2018_07_16_17_12_11_608.jp,0.0
IMG\right_2018_07_16_17_12_11_680.jp,0.0
IMG\right_2018_07_16_17_12_11_753.jp,0.0
IMG\right_2018_07_16_17_12_11_827.jp,0.0
IMG\right_2018_07_16_17_12_11_898.jp,0.0
IMG\right_2018_07_16_17_12_11_965.jp,0.0
IMG\right_2018_07_16_17_12_12_034.jp,0.0
IMG\right_2018_07_16_17_12_12_107.jp,0.0
IMG\right_2018_07_16_17_12_12_175.jp,0.0
IMG\right_2018_07_16_17_12_12_246.jp,0.0
IMG\right_2018_07_16_17_12_12_319.jp,0.0
IMG\right_2018_07_16_17_12_12_389.jp,0.0
IMG\right_2018_07_16_17_12_12_462.jp,0.0
IMG\right_2018_07_16_17_12_12_529.jp,0.0
IMG\right_2018_07_16_17_12_12_598.jp,0.0
IMG\right_2018_07_16_17_12_12_669.jp,0.0
IMG\right_2018_07_16_17_12_12_739.jp,0.0
IMG\right_2018_07_16_17_12_12_810.jp,0.0
IMG\right_2018_07_16_17_12_12_882.jp,0.0
IMG\right_2018_07_16_17_12_12_958.jp,-0.2
IMG\right_2018_07_16_17_12_13_034.jp,-0.001154052
IMG\right_2018_07_16_17_12_13_110.jp,0.0
IMG\right_2018_07_16_17_12_13_176.jp,0.0
IMG\right_2018_07_16_17_12_13_248.jp,0.0
IMG\right_2018_07_16_17_12_13_316.jp,0.0
IMG\right_2018_07_16_17_12_13_391.jp,0.0
IMG\right_2018_07_16_17_12_13_460.jp,-0.05
IMG\right_2018_07_16_17_12_13_533.jp,-0.05517991
IMG\right_2018_07_16_17_12_13_605.jp,0.0
IMG\right_2018_07_16_17_12_13_678.jp,0.0
IMG\right_2018_07_16_17_12_13_747.jp,0.0
IMG\right_2018_07_16_17_12_13_820.jp,0.0
IMG\right_2018_07_16_17_12_13_889.jp,0.0
IMG\right_2018_07_16_17_12_13_959.jp,0.0
IMG\right_2018_07_16_17_12_14_027.jp,0.0
IMG\right_2018_07_16_17_12_14_100.jp,0.0
IMG\right_2018_07_16_17_12_14_172.jp,-0.1
IMG\right_2018_07_16_17_12_14_244.jp,0.0
IMG\right_2018_07_16_17_12_14_318.jp,0.0
IMG\right_2018_07_16_17_12_14_388.jp,0.0
IMG\right_2018_07_16_17_12_14_458.jp,0.0
IMG\right_2018_07_16_17_12_14_525.jp,0.0
IMG\right_2018_07_16_17_12_14_602.jp,0.0
IMG\right_2018_07_16_17_12_14_672.jp,0.0
IMG\right_2018_07_16_17_12_14_778.jp,0.0
IMG\right_2018_07_16_17_12_14_852.jp,-0.2
IMG\right_2018_07_16_17_12_14_924.jp,-0.06382602
IMG\right_2018_07_16_17_12_14_999.jp,0.0
IMG\right_2018_07_16_17_12_15_069.jp,0.0
IMG\right_2018_07_16_17_12_15_138.jp,0.0
IMG\right_2018_07_16_17_12_15_209.jp,0.0
IMG\right_2018_07_16_17_12_15_277.jp,0.0
IMG\right_2018_07_16_17_12_15_346.jp,-0.05
IMG\right_2018_07_16_17_12_15_420.jp,-0.2
IMG\right_2018_07_16_17_12_15_496.jp,-0.1614014
IMG\right_2018_07_16_17_12_15_565.jp,0.0
IMG\right_2018_07_16_17_12_15_641.jp,0.0
IMG\right_2018_07_16_17_12_15_711.jp,0.0
IMG\right_2018_07_16_17_12_15_781.jp,0.0
IMG\right_2018_07_16_17_12_15_857.jp,0.0
IMG\right_2018_07_16_17_12_15_924.jp,0.0
IMG\right_2018_07_16_17_12_15_995.jp,-0.05
IMG\right_2018_07_16_17_12_16_087.jp,0.0
IMG\right_2018_07_16_17_12_16_195.jp,0.0
IMG\right_2018_07_16_17_12_16_347.jp,0.0
IMG\right_2018_07_16_17_12_16_413.jp,0.0
IMG\right_2018_07_16_17_12_16_480.jp,0.0
IMG\right_2018_07_16_17_12_16_553.jp,0.0
IMG\right_2018_07_16_17_12_16_624.jp,0.0
IMG\right_2018_07_16_17_12_16_697.jp,0.0
IMG\right_2018_07_16_17_12_16_767.jp,0.0
IMG\right_2018_07_16_17_12_16_846.jp,0.0
IMG\right_2018_07_16_17_12_16_919.jp,0.0
IMG\right_2018_07_16_17_12_16_993.jp,-0.05
IMG\right_2018_07_16_17_12_17_066.jp,-0.25
IMG\right_2018_07_16_17_12_17_136.jp,-0.1623461
IMG\right_2018_07_16_17_12_17_207.jp,0.0
IMG\right_2018_07_16_17_12_17_278.jp,0.0
IMG\right_2018_07_16_17_12_17_348.jp,0.0
IMG\right_2018_07_16_17_12_17_417.jp,0.0
IMG\right_2018_07_16_17_12_17_487.jp,0.0
IMG\right_2018_07_16_17_12_17_556.jp,0.0
IMG\right_2018_07_16_17_12_17_625.jp,0.0
IMG\right_2018_07_16_17_12_17_693.jp,0.0
IMG\right_2018_07_16_17_12_17_761.jp,0.0
IMG\right_2018_07_16_17_12_17_831.jp,0.0
IMG\right_2018_07_16_17_12_17_901.jp,0.0
IMG\right_2018_07_16_17_12_17_972.jp,0.0
IMG\right_2018_07_16_17_12_18_040.jp,0.0
IMG\right_2018_07_16_17_12_18_109.jp,0.0
IMG\right_2018_07_16_17_12_18_176.jp,0.0
IMG\right_2018_07_16_17_12_18_244.jp,0.0
IMG\right_2018_07_16_17_12_18_313.jp,0.0
IMG\right_2018_07_16_17_12_18_385.jp,0.0
IMG\right_2018_07_16_17_12_18_455.jp,0.0
IMG\right_2018_07_16_17_12_18_524.jp,0.0
IMG\right_2018_07_16_17_12_18_598.jp,0.0
IMG\right_2018_07_16_17_12_18_668.jp,0.0
IMG\right_2018_07_16_17_12_18_739.jp,-0.05
IMG\right_2018_07_16_17_12_18_809.jp,-0.25
IMG\right_2018_07_16_17_12_18_882.jp,-0.08598813
IMG\right_2018_07_16_17_12_18_949.jp,0.0
IMG\right_2018_07_16_17_12_19_024.jp,0.0
